SuicideRate_Type,BothSexes,Male,Female,BothSexes,Male,Female,BothSexes,Male,Female,Male_Avg,Female_Avg,Both_Avg
Maldives,2.22,3.33,0.44,2.12,3.2,0.43,2.7,3.9,0.8,3.4766666666666666,0.5566666666666666,2.3466666666666667
Mali,4.09,5.24,2.96,4.14,5.3,2.99,4.1,5.3,2.9,5.28,2.9499999999999997,4.11
Malta,4.96,8.06,1.85,5.06,8.37,1.76,6.1,9.8,2.3,8.743333333333334,1.97,5.373333333333332
Marshall Islands,20.04,29.01,10.65,20.11,29.07,10.71,,,,29.04,10.68,20.075
Mauritania,3.55,4.98,2.16,3.46,4.85,2.12,3.1,4.0,2.2,4.61,2.16,3.3699999999999997
Mauritius,10.96,18.01,4.09,11.22,18.63,3.99,9.5,16.3,2.8,17.646666666666665,3.6266666666666665,10.56
Mexico,6.84,11.51,2.38,6.73,11.3,2.36,5.3,8.5,2.2,10.436666666666667,2.3133333333333335,6.29
Micronesia,20.17,30.72,9.2,20.16,30.65,9.26,28.2,43.2,12.7,34.85666666666666,10.386666666666667,22.843333333333334
Moldova,14.92,26.48,4.41,14.79,26.25,4.37,14.7,26.1,4.1,26.27666666666667,4.293333333333334,14.803333333333333
Monaco,15.42,21.33,9.84,15.5,21.42,9.9,,,,21.375,9.870000000000001,15.46
Mongolia,14.59,25.68,3.77,15.94,28.08,4.1,17.9,30.7,5.4,28.153333333333332,4.423333333333333,16.143333333333334
Montenegro,15.45,23.77,7.33,16.87,26.07,7.87,21.0,31.7,10.4,27.180000000000003,8.533333333333333,17.773333333333333
Morocco,3.68,4.28,3.07,3.67,4.23,3.09,7.2,9.7,4.7,6.07,3.6199999999999997,4.8500000000000005
Mozambique,9.28,15.86,3.17,9.44,16.17,3.19,13.6,22.0,5.7,18.01,4.02,10.773333333333333
Myanmar,3.57,6.06,1.26,3.56,6.02,1.27,2.9,4.9,1.1,5.659999999999999,1.2100000000000002,3.3433333333333333
Namibia,11.57,20.03,3.61,11.66,20.2,3.61,9.7,16.7,3.2,18.97666666666667,3.473333333333333,10.976666666666667
Nauru,23.55,35.11,11.79,23.66,35.25,11.86,,,,35.18,11.825,23.605
Nepal,13.07,18.26,8.37,12.97,17.99,8.41,9.0,16.4,2.7,17.55,6.493333333333333,11.68
Netherlands,11.23,15.24,7.28,11.27,15.25,7.34,11.8,15.5,8.3,15.33,7.640000000000001,11.433333333333332
New Zealand,11.31,16.97,5.67,11.27,16.98,5.59,11.0,16.5,5.8,16.816666666666666,5.6866666666666665,11.193333333333333
Nicaragua,5.72,8.91,2.6,5.75,8.81,2.75,4.4,6.9,1.9,8.206666666666665,2.4166666666666665,5.29
Niger,3.55,4.6,2.52,3.59,4.66,2.53,5.3,7.2,3.3,5.486666666666667,2.783333333333333,4.1466666666666665
Nigeria,4.27,7.22,1.56,4.3,7.28,1.55,3.5,5.0,1.9,6.5,1.67,4.023333333333333
Niue,15.59,20.62,10.51,15.63,20.66,10.54,,,,20.64,10.524999999999999,15.61
North Korea,10.88,12.25,9.52,10.87,12.2,9.55,9.4,11.2,7.6,11.883333333333333,8.89,10.383333333333333
North Macedonia,7.91,11.08,4.64,7.96,11.18,4.65,9.4,13.9,4.8,12.053333333333333,4.696666666666666,8.423333333333334
Northern Mariana Islands,15.59,24.66,5.55,13.21,19.87,5.84,,,,22.265,5.695,14.4
Norway,11.68,16.4,6.86,12.22,17.36,6.98,11.8,15.8,7.7,16.52,7.18,11.9
Oman,1.04,1.49,0.33,1.05,1.49,0.34,4.9,6.8,1.0,3.26,0.5566666666666666,2.33
Pakistan,5.82,8.46,3.05,5.89,8.54,3.1,8.9,13.3,4.3,10.1,3.483333333333333,6.87
Palau,14.99,17.12,12.39,15.04,17.22,12.38,,,,17.17,12.385000000000002,15.015
Palestine,0.78,1.24,0.31,0.77,1.2,0.32,,,,1.22,0.315,0.775
Panama,5.28,8.82,1.7,5.35,8.91,1.73,2.9,4.7,1.0,7.476666666666667,1.4766666666666666,4.51
Papua New Guinea,2.28,2.84,1.67,2.32,2.89,1.71,3.0,4.3,1.6,3.3433333333333337,1.6600000000000001,2.533333333333333
Paraguay,5.8,8.63,2.91,5.91,8.79,2.97,6.0,8.7,3.2,8.706666666666667,3.0266666666666673,5.903333333333333
Peru,2.9,4.35,1.43,2.97,4.44,1.48,2.8,4.2,1.4,4.329999999999999,1.4366666666666668,2.89
Philippines,3.77,6.04,1.44,3.59,5.69,1.43,2.2,3.1,1.2,4.943333333333333,1.3566666666666667,3.186666666666666
Poland,15.15,27.27,3.79,15.21,27.44,3.74,11.3,20.1,3.1,24.936666666666667,3.5433333333333334,13.886666666666665
Portugal,11.62,18.25,5.63,11.66,18.35,5.61,11.5,17.9,5.7,18.166666666666668,5.646666666666667,11.593333333333334
Puerto Rico,7.1,12.68,2.05,7.15,12.78,2.06,,,,12.73,2.0549999999999997,7.125
Qatar,3.81,5.08,0.77,3.88,5.12,0.8,5.8,7.2,1.7,5.8,1.09,4.496666666666666
Republic of the Congo,9.57,14.47,4.72,9.56,14.42,4.76,6.5,9.5,3.5,12.796666666666667,4.326666666666667,8.543333333333335
Romania,10.76,18.54,3.4,10.6,18.3,3.32,9.7,16.5,3.3,17.78,3.34,10.353333333333333
Russia,24.1,41.82,8.66,24.25,42.42,8.44,25.1,43.6,9.1,42.61333333333334,8.733333333333334,24.483333333333334
Rwanda,7.36,11.13,3.79,7.35,11.11,3.79,5.6,8.2,3.0,10.146666666666667,3.526666666666667,6.7700000000000005
Saint Kitts and Nevis,2.85,4.96,0.74,2.8,4.87,0.73,,,,4.915,0.735,2.825
Saint Lucia,6.77,12.36,1.17,6.79,12.44,1.13,7.9,14.3,1.7,13.033333333333331,1.3333333333333333,7.153333333333333
Saint Vincent and the Grenadines,6.19,11.19,0.97,6.12,11.06,0.96,1.0,1.3,0.6,7.8500000000000005,0.8433333333333333,4.4366666666666665
Samoa,12.18,17.11,6.95,12.27,17.21,7.04,12.6,18.0,6.7,17.44,6.896666666666667,12.35
San Marino,7.59,12.19,3.28,8.01,12.87,3.45,,,,12.53,3.365,7.8
