Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature
Eastern Mediterranean,Qatar,2019,Both sexes,4.66,2.87,7.46,81.38575342465754
Americas,Nicaragua,2019,Both sexes,4.66,3.02,11.76,79.15835616438356
Europe,Ukraine,2019,Female,4.65,3.25,6.44,48.81150684931507
Eastern Mediterranean,Pakistan,2019,Female,4.75,3.02,7.17,28.234246575342464
Americas,Panama,2019,Male,4.8,3.24,6.83,77.65315068493152
Western Pacific,China,2019,Female,4.8,3.76,6.03,59.34558904109589
Europe,Uzbekistan,2019,Female,4.93,3.61,6.45,59.35506849315068
Americas,Suriname,2019,Male,41.33,28.17,58.2,76.90438356164383
Africa,Mozambique,2019,Male,42.56,25.51,65.22,72.40630136986302
Americas,Dominican Republic,2019,Both sexes,5.11,2.94,8.42,75.61808219178081
Europe,Croatia,2019,Female,5.08,3.51,7.13,54.0
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,5.24,2.92,8.39,81.73095890410958
Africa,Senegal,2019,Female,5.18,2.99,8.17,73.56301369863014
Africa,Ethiopia,2019,Female,5.18,3.69,7.01,55.12410958904109
Europe,Albania,2019,Male,5.27,2.69,8.25,59.467123287671235
Europe,Tajikistan,2019,Both sexes,5.32,3.26,7.99,59.16986301369863
Europe,Belarus,2019,Female,5.28,3.54,7.6,11.465479452054794
Africa,Kenya,2019,Female,5.31,3.83,7.1,64.67561643835616
Europe,Spain,2019,Both sexes,5.28,4.23,6.47,58.2565296803653
Americas,Mexico,2019,Both sexes,5.29,4.28,6.46,65.32584474885844
Africa,Madagascar,2019,Female,5.42,3.13,8.8,64.46657534246575
Eastern Mediterranean,Saudi Arabia,2019,Both sexes,5.43,3.24,8.5,78.69410958904109
Americas,Canada,2019,Female,5.38,4.25,11.35,36.24027397260274
Western Pacific,New Zealand,2019,Female,5.41,4.39,6.58,57.93972602739726
Europe,Hungary,2019,Female,5.51,4.0,7.44,51.51945205479451
Western Pacific,Mongolia,2019,Female,5.62,3.35,8.72,29.263835616438353
Western Pacific,Australia,2019,Female,5.58,4.45,6.83,61.28761643835616
Eastern Mediterranean,Qatar,2019,Male,5.66,3.49,9.12,81.38575342465754
Europe,Switzerland,2019,Female,5.65,4.46,7.03,49.04392694063927
Western Pacific,Malaysia,2019,Both sexes,5.77,3.53,9.0,79.98109589041096
Americas,Bahamas,2019,Male,5.76,3.99,8.11,76.20986301369862
Americas,Colombia,2019,Male,5.96,4.07,15.05,55.08767123287672
Africa,Benin,2019,Female,6.09,3.47,10.01,79.42986301369864
Africa,Congo,2019,Female,6.06,3.48,9.87,76.16328767123288
South-East Asia,Sri Lanka,2019,Female,6.1,4.05,8.79,78.87123287671233
Europe,Turkmenistan,2019,Both sexes,6.07,4.24,8.43,62.49479452054794
Africa,Gambia,2019,Female,6.24,3.58,10.01,75.35780821917808
Americas,Guatemala,2019,Both sexes,6.23,4.33,8.61,64.95780821917808
Eastern Mediterranean,United Arab Emirates,2019,Male,6.29,3.49,10.03,81.73095890410958
Europe,Norway,2019,Female,6.29,5.7,6.98,39.80958904109589
Eastern Mediterranean,Oman,2019,Male,6.43,3.85,10.93,63.0241610738255
Western Pacific,Singapore,2019,Female,6.37,5.06,7.84,80.32438356164384
Americas,Brazil,2019,Both sexes,6.41,5.79,12.1,70.8766210045662
Africa,Togo,2019,Female,6.45,3.65,10.74,77.80739726027397
Europe,Bulgaria,2019,Both sexes,6.5,4.57,8.91,50.733698630136985
Africa,Guinea-Bissau,2019,Female,6.69,3.85,10.99,77.52958904109589
Western Pacific,China,2019,Both sexes,6.67,5.09,8.72,59.34558904109589
Europe,Italy,2019,Male,6.72,6.2,7.29,56.89835616438357
Europe,Finland,2019,Female,6.78,5.44,8.29,41.52849315068493
Africa,Nigeria,2019,Both sexes,6.87,3.84,11.43,80.33123287671233
Europe,Kazakhstan,2019,Female,6.94,5.25,8.98,50.62
Western Pacific,Japan,2019,Female,6.91,6.45,7.35,55.25077625570776
Eastern Mediterranean,Bahrain,2019,Both sexes,7.2,4.46,10.45,79.97232876712329
Europe,Portugal,2019,Both sexes,7.22,5.68,9.06,59.2945205479452
Eastern Mediterranean,Morocco,2019,Both sexes,7.29,3.38,13.65,59.73150684931507
Europe,Romania,2019,Both sexes,7.33,5.47,9.6,53.04383561643836
Europe,Tajikistan,2019,Male,7.35,4.48,10.95,59.16986301369863
Americas,Costa Rica,2019,Both sexes,7.62,5.29,10.53,70.66931506849315
Europe,Denmark,2019,Both sexes,7.63,5.99,9.6,46.86493150684932
Americas,Belize,2019,Both sexes,7.65,5.53,10.27,78.84876712328767
Americas,Uruguay,2019,Female,7.67,5.91,9.69,59.540547945205475
Europe,Sweden,2019,Female,7.73,6.53,9.06,44.18
Eastern Mediterranean,Saudi Arabia,2019,Male,7.79,4.67,12.15,78.69410958904109
Americas,Nicaragua,2019,Male,7.79,5.08,21.03,79.15835616438356
Europe,Spain,2019,Male,7.88,6.38,9.6,58.2565296803653
Americas,Haiti,2019,Female,7.98,4.41,13.06,73.38301369863014
Africa,Guinea,2019,Female,8.03,4.55,13.3,62.41530054644809
Americas,Argentina,2019,Both sexes,8.14,6.47,10.05,60.407123287671226
Europe,Uzbekistan,2019,Both sexes,8.28,6.16,10.78,59.35506849315068
Europe,Kyrgyzstan,2019,Both sexes,8.28,6.32,10.7,52.75506849315068
Europe,Germany,2019,Both sexes,8.27,6.74,10.0,48.25071225071225
Europe,Belgium,2019,Female,8.41,6.75,10.26,50.01342465753425
Americas,Dominican Republic,2019,Male,8.53,4.91,14.09,75.61808219178081
Western Pacific,China,2019,Male,8.63,6.49,11.53,59.34558904109589
Americas,Mexico,2019,Male,8.69,7.06,10.57,65.32584474885844
Africa,Mozambique,2019,Female,8.92,4.87,14.98,72.40630136986302
Europe,Ireland,2019,Both sexes,8.9,7.01,11.12,47.38602739726028
Western Pacific,Malaysia,2019,Male,9.02,5.5,14.12,79.98109589041096
Africa,Madagascar,2019,Both sexes,9.18,5.4,14.67,64.46657534246575
Africa,Central African Republic,2019,Female,9.3,5.14,15.6,62.85260273972603
Europe,Slovakia,2019,Both sexes,9.31,6.09,19.99,51.73479452054795
Europe,Poland,2019,Both sexes,9.3,7.34,11.75,49.365753424657534
Europe,Turkmenistan,2019,Male,9.41,6.6,13.02,62.49479452054794
Africa,Ethiopia,2019,Both sexes,9.45,6.57,13.54,55.12410958904109
Africa,Gambia,2019,Both sexes,9.64,5.1,16.44,75.35780821917808
Western Pacific,Singapore,2019,Both sexes,9.65,7.77,11.77,80.32438356164384
Europe,France,2019,Both sexes,9.65,7.76,15.08,54.09767123287671
Eastern Mediterranean,Pakistan,2019,Both sexes,9.77,4.86,17.72,28.234246575342464
South-East Asia,Nepal,2019,Both sexes,9.77,5.4,15.22,62.714520547945206
Africa,South Africa,2019,Female,9.83,5.75,14.49,60.399726027397264
