Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP,Population,Happiness Index
Eastern Mediterranean,Pakistan,2019,Female,4.75,3.02,7.17,28.234246575342464,1307.3335009782547,223293280.0,4.443
Americas,Panama,2019,Male,4.8,3.24,6.83,77.65315068493152,16472.831754845563,4232532.0,6.086
Western Pacific,China,2019,Female,4.8,3.76,6.03,59.34558904109589,10043.13017714862,1407745000.0,5.144
Americas,Suriname,2019,Male,41.33,28.17,58.2,76.90438356164383,7087.787593483165,600301.0,6.269
Africa,Mozambique,2019,Male,42.56,25.51,65.22,72.40630136986302,512.2157610346017,30285595.0,4.932
Americas,Dominican Republic,2019,Both sexes,5.11,2.94,8.42,75.61808219178081,8173.344645803636,10881882.0,6.004
Eastern Mediterranean,United Arab Emirates,2019,Both sexes,5.24,2.92,8.39,81.73095890410958,45376.17083815792,9211657.0,6.711
Africa,Senegal,2019,Female,5.18,2.99,8.17,73.56301369863014,1462.6783520711049,16000781.0,5.489
Europe,Albania,2019,Male,5.27,2.69,8.25,59.467123287671235,5359.239078357407,2854191.0,4.995
Africa,Kenya,2019,Female,5.31,3.83,7.1,64.67561643835616,1970.0800629653995,50951450.0,4.619
Europe,Spain,2019,Both sexes,5.28,4.23,6.47,58.2565296803653,29583.693322770436,47134837.0,6.457
Americas,Mexico,2019,Both sexes,5.29,4.28,6.46,65.32584474885844,10434.56743883823,125085311.0,6.432
Africa,Madagascar,2019,Female,5.42,3.13,8.8,64.46657534246575,512.2796655827365,27533134.0,4.339
Eastern Mediterranean,Saudi Arabia,2019,Both sexes,5.43,3.24,8.5,78.69410958904109,23405.706108770533,35827362.0,6.561
Americas,Canada,2019,Female,5.38,4.25,11.35,36.24027397260274,46469.22720143606,37618495.0,7.109
Western Pacific,New Zealand,2019,Female,5.41,4.39,6.58,57.93972602739726,42943.494146244775,4979200.0,7.205
Europe,Hungary,2019,Female,5.51,4.0,7.44,51.51945205479451,16785.088465995297,9771141.0,6.0
Western Pacific,Mongolia,2019,Female,5.62,3.35,8.72,29.263835616438353,4394.947150112733,3232430.0,5.563
Western Pacific,Australia,2019,Female,5.58,4.45,6.83,61.28761643835616,54407.64462080841,25334826.0,7.234
Europe,Switzerland,2019,Female,5.65,4.46,7.03,49.04392694063927,84113.28662971577,8575280.0,7.694
Western Pacific,Malaysia,2019,Both sexes,5.77,3.53,9.0,79.98109589041096,11132.10526349743,32804020.0,5.428
Americas,Colombia,2019,Male,5.96,4.07,15.05,55.08767123287672,6438.0601829042935,50187406.0,6.35
Africa,Benin,2019,Female,6.09,3.47,10.01,79.42986301369864,1170.9658792195055,12290444.0,4.976
South-East Asia,Sri Lanka,2019,Female,6.1,4.05,8.79,78.87123287671233,4111.610249585678,21803000.0,4.213
Americas,Guatemala,2019,Both sexes,6.23,4.33,8.61,64.95780821917808,4511.328719962381,16604026.0,6.262
Eastern Mediterranean,United Arab Emirates,2019,Male,6.29,3.49,10.03,81.73095890410958,45376.17083815792,9211657.0,6.711
Europe,Norway,2019,Female,6.29,5.7,6.98,39.80958904109589,76425.11561365644,5347896.0,7.442
Eastern Mediterranean,Oman,2019,Male,6.43,3.85,10.93,63.0241610738255,19132.15076523388,4602768.0,6.853
Western Pacific,Singapore,2019,Female,6.37,5.06,7.84,80.32438356164384,64236.5278764376,5703569.0,6.448
Americas,Brazil,2019,Both sexes,6.41,5.79,12.1,70.8766210045662,8883.903092241835,211782878.0,6.451
Africa,Togo,2019,Female,6.45,3.65,10.74,77.80739726027397,848.3045343333605,8243094.0,4.179
Europe,Bulgaria,2019,Both sexes,6.5,4.57,8.91,50.733698630136985,9767.173367811269,6975761.0,5.108
Western Pacific,China,2019,Both sexes,6.67,5.09,8.72,59.34558904109589,10043.13017714862,1407745000.0,5.144
Europe,Italy,2019,Male,6.72,6.2,7.29,56.89835616438357,33674.39875245384,59729081.0,6.445
Europe,Finland,2019,Female,6.78,5.44,8.29,41.52849315068493,48630.46593232076,5521606.0,7.78
