Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Africa,Mozambique,2019,Both sexes,23.19,13.59,36.38,72.40630136986302,512.2157610346017
Africa,Gabon,2019,Male,23.31,13.41,37.68,77.58684931506849,7523.862278460201
Africa,South Africa,2019,Both sexes,23.49,16.22,32.13,60.399726027397264,6702.526591226513
Africa,Togo,2019,Male,23.99,14.37,37.02,77.80739726027397,848.3045343333605
Africa,Namibia,2019,Male,24.88,14.43,41.16,65.51780821917808,5126.073108153393
Americas,Suriname,2019,Both sexes,25.89,17.38,36.82,76.90438356164383,7087.787593483165
Eastern Mediterranean,Jordan,2019,Male,3.03,1.96,4.42,62.50547945205479,4159.671441750038
Eastern Mediterranean,Tunisia,2019,Both sexes,3.18,1.71,5.42,64.67041095890411,3477.842996491768
Africa,Algeria,2019,Male,3.3,1.82,5.73,62.29698630136987,4021.9836024106503
Americas,Argentina,2019,Female,3.31,2.58,4.15,60.407123287671226,10006.693110619826
Eastern Mediterranean,Egypt,2019,Both sexes,3.41,1.57,6.54,70.99287671232877,3004.652156084475
Americas,Bahamas,2019,Both sexes,3.37,2.31,4.79,76.20986301369862,33564.69573385209
Europe,Portugal,2019,Female,3.46,2.64,4.43,59.2945205479452,23322.518802026178
Europe,Iceland,2019,Female,3.48,2.55,4.62,40.08054794520548,68412.2016810945
Europe,Ireland,2019,Female,3.57,2.69,4.56,47.38602739726028,81481.09923743273
Europe,Albania,2019,Both sexes,3.72,2.05,5.72,59.467123287671235,5359.239078357407
Africa,Uganda,2019,Female,3.7,2.21,5.88,66.44246575342466,879.5241424518402
Americas,Colombia,2019,Both sexes,3.74,2.54,8.68,55.08767123287672,6438.0601829042935
Africa,Nigeria,2019,Female,3.79,1.78,6.07,80.33123287671233,2334.0172723874666
Africa,Gabon,2019,Female,3.81,2.14,6.15,77.58684931506849,7523.862278460201
Eastern Mediterranean,Kuwait,2019,Male,3.83,2.67,5.35,77.1413698630137,30666.220367346436
Eastern Mediterranean,Lebanon,2019,Male,3.87,1.99,7.31,67.85972602739726,8987.165235262877
Western Pacific,Philippines,2019,Male,3.88,2.69,9.36,80.48164383561644,3413.8490672027515
Europe,Germany,2019,Female,3.91,3.11,4.83,48.25071225071225,46774.0774776299
Western Pacific,Mongolia,2019,Male,31.11,19.08,48.67,29.263835616438353,4394.947150112733
Americas,Uruguay,2019,Male,31.12,25.14,37.99,59.540547945205475,18098.361548791
Africa,South Africa,2019,Male,37.88,27.27,50.93,60.399726027397264,6702.526591226513
Africa,Central African Republic,2019,Male,39.64,22.21,64.18,62.85260273972603,426.2785602438487
South-East Asia,Indonesia,2019,Male,3.99,2.76,5.45,81.00931506849315,4151.227554541349
Americas,Cuba,2019,Female,4.08,2.91,5.59,73.86191780821918,9139.415856057649
Europe,Denmark,2019,Female,4.24,3.23,5.48,46.86493150684932,59783.649338656745
Europe,Italy,2019,Both sexes,4.33,3.96,6.87,56.89835616438357,33674.39875245384
Africa,Namibia,2019,Female,4.35,2.23,7.55,65.51780821917808,5126.073108153393
Americas,Honduras,2019,Male,4.39,2.25,8.65,68.82767123287671,2519.367422545348
Eastern Mediterranean,Oman,2019,Both sexes,4.47,2.68,7.64,63.0241610738255,19132.15076523388
Europe,France,2019,Female,4.54,3.55,8.93,54.09767123287671,40915.376825761254
Eastern Mediterranean,Tunisia,2019,Male,4.6,2.56,7.82,64.67041095890411,3477.842996491768
Europe,Austria,2019,Female,4.64,3.72,5.73,51.81753424657535,50067.47296099458
Eastern Mediterranean,Egypt,2019,Male,4.65,2.06,9.29,70.99287671232877,3004.652156084475
Eastern Mediterranean,Morocco,2019,Female,4.7,2.35,9.15,59.73150684931507,3551.0912359602585
